Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
TMS14F1224P0004,11.75,0.599,13.438,8.867,4,0.6,2017,AGO-OWO,10673
TMS14F1262P0002,7.475,7.588,12.049,6.878,2,1.2,2017,AGO-OWO,9524
TMS14F1278P0003,12.114,8.044,8.09,4.87,NA,0.9,2017,AGO-OWO,10285
TMS14F1285P0006,11.536,9.389,9.375,3.763,7,1.2,2017,AGO-OWO,11588
TMS14F1285P0017,NA,8.397,9.375,3.472,1,1,2017,AGO-OWO,11933
TMS14F1287P0008,10.833,9.85,12.222,3.754,NA,1.2,2017,AGO-OWO,11164
TMS14F1288P0008,9.412,7.804,9.757,3.552,NA,0.7,2017,AGO-OWO,10346
TMS14F1291P0003,13.144,5.017,11.389,3.973,6,0.7,2017,AGO-OWO,10966
TMS14F1291P0011,7.752,7.534,12.986,3.395,3,0.9,2017,AGO-OWO,10601
TMS14F1291P0012,13.562,15.466,8.75,10.78,1,2,2017,AGO-OWO,11512
TMS14F1292P0012,11.493,7.078,13.889,3.324,4,0.7,2017,AGO-OWO,10410
TMS14F1295P0012,13.35,6.027,12.188,4.555,4,0.7,2017,AGO-OWO,9592
TMS14F1297P0019,16.638,12.257,14.271,5.352,NA,1.5,2017,AGO-OWO,10416
TMS14F1299P0007,12.724,5.787,12.118,4.169,4,0.7,2017,AGO-OWO,10588
TMS14F1300P0002,13.2,8.022,18.75,5.456,NA,1,2017,AGO-OWO,10443
TMS14F1300P0008,14.769,5.842,14.167,4.091,8,0.8,2017,AGO-OWO,10286
TMS14F1301P0004,13.397,8.65,14.062,3.341,8,0.8,2017,AGO-OWO,9902
TMS14F1301P0013,13.775,9.433,12.014,3.978,7,0.9,2017,AGO-OWO,9575
TMS14F1303P0012,14.854,7.43,11.458,3.623,3,1,2017,AGO-OWO,9861
TMS14F1306P0008,11.533,8.754,12.535,3.931,3,0.8,2017,AGO-OWO,10244
TMS14F1306P0015,12.931,9.754,10.729,4.151,5,1.1,2017,AGO-OWO,10078
TMS14F1306P0020,14.556,7.676,10.104,4.218,NA,0.9,2017,AGO-OWO,10451
TMS14F1310P0004,8.939,6.25,11.493,4.856,5,0.9,2017,AGO-OWO,9273
TMS14F1310P0015,8.899,7.965,13.229,4.393,4,0.8,2017,AGO-OWO,9280
TMS14F1311P0002,NA,6.322,NA,4.362,NA,0.7,2017,AGO-OWO,8860
TMS14F1312P0003,NA,6.322,NA,4.362,NA,0.7,2017,AGO-OWO,5401
IITA-TMS-IBA000070,10.693,10.597,11.823,5.174,5,0.8,2018,AGO-OWO,12227
IITA-TMS-IBA30572,8.251,8.506,8.594,9.84,3,1.6,2018,AGO-OWO,9141
IITA-TMS-IBA980581,8.259,14.459,11.892,6.388,4,1.2,2018,AGO-OWO,10073
IITA-TMS-IBA982101,6.68,11.416,9.948,7.188,3,1.1,2018,AGO-OWO,9484
TMEB419,8.603,18.251,8.941,5.225,3,1.6,2018,AGO-OWO,10314
TMS13F1021P0008,7.875,13.764,12.743,5.061,4,1,2018,AGO-OWO,11206
TMS13F1049P0001,9.826,8.811,8.021,3.439,1,1,2018,AGO-OWO,10322
TMS13F1114P0001,6.304,14.717,12.5,5.04,4,1.5,2018,AGO-OWO,10138
TMS13F1126P0003,11.825,7.734,10.833,4.732,3,0.8,2018,AGO-OWO,9611
TMS13F1182P0002,11.944,9.481,16.111,5.275,5,1.2,2018,AGO-OWO,11409
TMS13F1304P0003,8.654,12.55,15.347,4.378,2,0.9,2018,AGO-OWO,13306
TMS13F1315P0008,8.824,11.793,9.201,6.109,2,1,2018,AGO-OWO,9908
TMS13F1376P0018,8.353,10.654,17.5,4.553,NA,1,2018,AGO-OWO,12779
TMS13F1400P0001,9.093,11.293,8.507,4.839,4,1,2018,AGO-OWO,9936
TMS13F1461P0002,10.395,14.717,9.931,5.04,5,1.5,2018,AGO-OWO,11689
TMS13F2061P0005,7.032,11.755,13.993,4.961,3,0.9,2018,AGO-OWO,10276
TMS13F2207P0001,12.502,13.714,12.847,4.832,5,1,2018,AGO-OWO,12634
TMS14F1001P0004,7.088,11.33,10.382,4.876,3,1,2018,AGO-OWO,10561
TMS14F1013P0007,8.908,10.288,9.757,4.325,3,1,2018,AGO-OWO,9523
TMS14F1014P0016,9.461,10.441,9.826,4.402,2,1,2018,AGO-OWO,10223
TMS14F1014P0017,10.043,11.662,6.146,5.068,2,1,2018,AGO-OWO,10173
TMS14F1016P0006,10.836,11.923,12.361,5.234,13,1,2018,AGO-OWO,11269
TMS14F1019P0015,8.386,10.221,8.819,4.308,3,1,2018,AGO-OWO,11529
TMS14F1022P0003,11.411,10.63,10.59,4.515,2,1,2018,AGO-OWO,10660
TMS14F1022P0006,10.508,12.067,8.924,5.444,8,1,2018,AGO-OWO,12806
TMS14F1035P0004,14.228,16.738,8.75,7.67,5,1.9,2018,AGO-OWO,12932
TMS14F1035P0007,10.374,15.104,8.889,5.823,5,1.1,2018,AGO-OWO,10891
TMS14F1036P0007,12.897,12.79,11.667,7.755,5,1.1,2018,AGO-OWO,10008
TMS14F1049P0001,8.347,8.336,10.382,6.084,6,1.1,2018,AGO-OWO,10592
TMS14F1098P0013,11.653,11.585,10.694,4.883,4,0.9,2018,AGO-OWO,11532
TMS14F1120P0003,4.927,7.035,12.5,7.668,4,1.2,2018,AGO-OWO,10060
TMS14F1125P0010,5.822,11.672,11.736,4.922,3,0.9,2018,AGO-OWO,10855
TMS14F1131P0001,8.708,10.355,11.181,5.375,3,1,2018,AGO-OWO,10573
TMS14F1146P0002,11.944,10.595,10.104,5.318,NA,1.1,2018,AGO-OWO,10645
TMS14F1159P0003,8.519,9.209,9.861,4.17,3,1.1,2018,AGO-OWO,9878
TMS14F1194P0002,10.5,8.206,10.347,5.455,NA,0.9,2018,AGO-OWO,11299
TMS14F1195P0004,6.875,10.139,7.326,5.125,2,1,2018,AGO-OWO,10657
TMS14F1195P0005,6.667,13.426,9.931,7.248,4,1,2018,AGO-OWO,10320
TMS14F1196P0003,5.622,10.565,9.34,5.722,2,0.9,2018,AGO-OWO,10276
TMS14F1208P0007,8.662,6.516,8.785,6.065,6,0.8,2018,AGO-OWO,9351
TMS14F1223P0007,10.206,11.459,9.514,4.824,3,0.9,2018,AGO-OWO,10218
TMS14F1224P0004,8.215,3.351,10.312,10.424,2,0.7,2018,AGO-OWO,10673
TMS14F1262P0002,9.889,10.144,14.236,8.721,4,1.6,2018,AGO-OWO,9524
TMS14F1278P0003,11.138,10.568,11.806,6.07,2,1.2,2018,AGO-OWO,10285
TMS14F1285P0006,12.467,11.778,9.34,4.369,2,1.3,2018,AGO-OWO,11588
TMS14F1285P0017,10.643,10.812,10.417,4.285,NA,1.1,2018,AGO-OWO,11933
TMS14F1287P0008,7.879,13.034,11.562,4.446,7,1.3,2018,AGO-OWO,11164
TMS14F1288P0008,6.927,12.155,6.25,4.623,1,0.8,2018,AGO-OWO,10346
TMS14F1291P0003,8.065,7.449,11.458,5.342,NA,0.8,2018,AGO-OWO,10966
TMS14F1291P0011,11.158,10.692,8.368,4.616,NA,1,2018,AGO-OWO,10601
