source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
13,TMS13F1049P0001,7,UYMO1801CS,7648,8594,1.1,1,5682,8403
13,TMS13F1114P0001,8,UYMO1801CS,9388,3754,1.3,4,5713,5868
13,TMS13F1126P0003,9,UYMO1801CS,9188,6064,1.1,3,4318,5139
13,TMS13F1182P0002,10,UYMO1801CS,9034,4785,1.4,5,7192,9097
13,TMS13F1304P0003,11,UYMO1801CS,11324,9967,1.5,2,5069,8889
13,TMS13F1315P0008,12,UYMO1801CS,9188,3807,1.1,2,4318,7847
13,TMS13F1376P0018,13,UYMO1801CS,15105,14171,1.9,NA,8771,9028
13,TMS13F1400P0001,14,UYMO1801CS,9388,5897,1.3,4,5713,11389
13,TMS13F1461P0002,15,UYMO1801CS,9388,4134,1.3,5,5713,8576
13,TMS13F2061P0005,16,UYMO1801CS,9388,5083,1.3,3,5713,9306
13,TMS13F2207P0001,17,UYMO1801CS,15378,8226,2.5,5,7083,9653
13,TMS14F1001P0004,18,UYMO1801CS,11324,4271,1.5,3,5069,7986
13,TMS14F1013P0007,19,UYMO1801CS,9188,5991,1.1,3,4318,8611
13,TMS14F1014P0016,20,UYMO1801CS,9388,5769,1.3,2,5713,11562
13,TMS14F1014P0017,21,UYMO1801CS,9388,7849,1.3,2,5713,7882
13,TMS14F1016P0006,22,UYMO1801CS,11324,4966,1.5,13,5069,9410
13,TMS14F1019P0015,23,UYMO1801CS,9188,7160,1.1,3,4318,8194
13,TMS14F1022P0003,24,UYMO1801CS,9188,6502,1.1,2,4318,10799
13,TMS14F1022P0006,25,UYMO1801CS,9188,7656,1.1,8,4318,6354
13,TMS14F1035P0004,26,UYMO1801CS,11109,9900,1.3,5,3988,9062
13,TMS14F1035P0007,27,UYMO1801CS,11324,8344,1.5,5,5069,5854
13,TMS14F1036P0007,28,UYMO1801CS,15378,5219,2.5,5,7083,8257
13,TMS14F1049P0001,29,UYMO1801CS,9188,3752,1.1,6,4318,6389
13,TMS14F1098P0013,30,UYMO1801CS,9188,3917,1.1,4,4318,7847
13,TMS14F1120P0003,31,UYMO1801CS,6460,3047,1.1,4,6620,9340
13,TMS14F1125P0010,32,UYMO1801CS,9388,6433,1.3,3,5713,10069
13,TMS14F1131P0001,33,UYMO1801CS,6707,3376,0.8,3,4411,8153
13,TMS14F1146P0002,34,UYMO1801CS,12207,4249,1.4,0,5386,6146
13,TMS14F1159P0003,35,UYMO1801CS,11089,8324,1.4,3,4972,10556
13,TMS14F1194P0002,36,UYMO1801CS,12218,4595,1.4,0,5378,9958
13,TMS14F1195P0004,37,UYMO1801CS,6755,7532,0.8,2,3428,7118
13,TMS14F1195P0005,38,UYMO1801CS,8889,3603,1.2,4,4944,10729
