plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,branching level counting after 21 days|CO_334:0000079,number of nodes after Last branching Level,New nodes Counting after Tag,number of forks at new branching level if existing,New Branching Height if existing,plant height with leaf after 21 days in cm|CO_334:0000123,stem diameter measurement after 21 days,Branching_1-2_diameter after 21 days,Branching_2-3_diameter after 21 days,Branching_3-4_diameter after 21 days
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118,TMS14F1131P0001,118,2,,1,2,1,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118,TMS14F1131P0001,118,2,,1,2,1,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1131P0001_118,TMS14F1131P0001,118,2,,1,2,1,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119,IITA-TMS-IBA000070,119,2,1,1,3,1,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119,IITA-TMS-IBA000070,119,2,1,1,3,1,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119,IITA-TMS-IBA000070,119,2,1,1,3,1,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119,IITA-TMS-IBA000070,119,2,1,1,3,1,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA000070_119,IITA-TMS-IBA000070,119,2,1,1,3,1,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA982101_120_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA982101_120,IITA-TMS-IBA982101,120,2,1,1,3,2,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA982101_120_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA982101_120,IITA-TMS-IBA982101,120,2,1,1,3,2,2,,,,,,,,,,
