"accession_name","rep_number","plant_number","stem_nu","branching_point","branchpoint1_Fs","branchpoint2_Fs","branchpoint3_Fs","branchpoint4_Fs","branchpoint1_H","section1_H","section2_H","section3_H","plant_H","plant_H21","section1_Nod","section2_Nod","section3_Nod","section4_Nod","LlobesNo","Lob1L","Lob1W","Lob2L","Lob2W","Lob3L","Lob3W","stem_D","section1_D","section2_D","section3_D","New_nod"
"TMS14F1131P0001",1,3,1,2,3,2,NA,NA,55,125,135,NA,155,NA,19,5,NA,NA,7,14.5,4.2,10,5.1,11,5,24.66,13.71,4.34,NA,NA
"TMS14F1131P0001",1,4,1,2,3,2,NA,NA,65,150,165,NA,165,NA,21,1,NA,NA,7,13,4.5,12,3.3,13,4.2,20.76,14.26,3.07,NA,NA
"TMS14F1131P0001",1,5,1,2,2,3,NA,NA,72,140,155,NA,165,NA,22,3,NA,NA,7,15,5,14.5,4,14,4.5,21.76,14.55,5.45,NA,NA
"IITA-TMS-IBA000070",1,1,2,1,2,NA,NA,NA,65,100,NA,NA,110,NA,20,NA,NA,NA,7,13.5,4,12.5,3,11,2.9,15.58,8.94,NA,NA,NA
"IITA-TMS-IBA000070",1,2,2,1,3,NA,NA,NA,75,125,NA,NA,130,NA,26,NA,NA,NA,7,13,3,12,2.5,11,2.5,21.09,11.6,NA,NA,NA
"IITA-TMS-IBA000070",1,3,1,1,3,NA,NA,NA,80,130,NA,NA,145,NA,30,NA,NA,NA,7,14.5,3,16,5.2,15,5.5,22.26,13.98,NA,NA,NA
"IITA-TMS-IBA000070",1,4,3,1,2,NA,NA,NA,65,100,NA,NA,110,NA,18,NA,NA,NA,7,11,2.5,12,3.5,12,3.2,15.25,8.91,NA,NA,NA
"IITA-TMS-IBA000070",1,5,1,1,2,NA,NA,NA,85,130,NA,NA,140,NA,28,NA,NA,NA,7,14,4,15,4.5,16,4.5,20.91,13.25,NA,NA,NA
"IITA-TMS-IBA982101",1,1,2,1,3,NA,NA,NA,105,135,NA,NA,155,NA,13,NA,NA,NA,9,13.5,4,12,5,11,4.2,20.4,11.69,NA,NA,NA
"IITA-TMS-IBA982101",1,2,2,1,2,NA,NA,NA,90,140,NA,NA,165,NA,20,NA,NA,NA,9,14,4,16,5.5,17,5.1,20.98,15.45,NA,NA,NA
"IITA-TMS-IBA982101",1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,9,14.5,5,12,4.2,13,4,15.54,NA,NA,NA,NA
"IITA-TMS-IBA982101",1,4,2,1,2,NA,NA,NA,70,145,NA,NA,165,NA,25,NA,NA,NA,9,13,5,12,4.1,11,3.5,21.35,14.47,NA,NA,NA
"IITA-TMS-IBA982101",1,5,3,2,3,2,NA,NA,80,150,165,NA,180,NA,22,1,NA,NA,9,13,5,14,5,13.5,5.4,23.51,15.86,6.52,NA,NA
"IITA-TMS-IBA30572",1,1,2,2,3,4,NA,NA,75,115,NA,NA,195,NA,25,NA,NA,NA,7,12,3.5,12,4,14,4,26.56,18.08,5.45,NA,NA
"IITA-TMS-IBA30572",1,2,3,1,3,NA,NA,NA,105,140,NA,NA,155,NA,9,NA,NA,NA,7,14,3.5,11,3.2,11,2.5,14.85,10.94,NA,NA,NA
"IITA-TMS-IBA30572",1,3,2,2,3,2,NA,NA,90,165,NA,NA,180,NA,19,NA,NA,NA,7,15,3.5,13.5,3,13,3.2,25.41,13.4,NA,NA,NA
"IITA-TMS-IBA30572",1,4,1,1,2,3,3,NA,95,160,180,NA,185,NA,22,3,NA,NA,7,16,5.5,15,4.5,15,4,25.87,18.52,8.52,NA,NA
"IITA-TMS-IBA30572",1,5,1,1,4,NA,NA,NA,100,140,NA,NA,155,NA,13,NA,NA,NA,7,12,3.8,11,4.5,12.5,4.5,20.18,12.05,NA,NA,NA
"TMS13F1114P0001",1,1,6,2,3,3,NA,NA,70,155,190,NA,200,NA,23,7,NA,NA,7,15.5,4,14,3.5,14.5,3.2,21,14.43,7.52,NA,NA
"TMS13F1114P0001",1,2,5,2,2,2,NA,NA,80,155,185,NA,200,NA,18,7,NA,NA,7,15.5,3,14.5,4,13,3.8,18.71,13.23,7.28,NA,NA
"TMS13F1114P0001",1,3,4,2,2,3,NA,NA,85,165,185,NA,205,NA,23,2,NA,NA,7,15,4,15.5,4.2,16,5.5,19.79,16.18,6.76,NA,NA
"TMS13F1114P0001",1,4,4,2,3,3,NA,NA,70,170,195,NA,205,NA,18,4,NA,NA,7,14,3.9,13.5,3.9,14,3.5,18.9,13.09,5.57,NA,NA
"TMS13F1114P0001",1,5,3,2,3,3,NA,NA,75,170,185,NA,195,NA,17,2,NA,NA,7,14,4,14.5,3.5,11,3,21.63,12.35,5.47,NA,NA
"TMEB419",1,1,2,1,3,NA,NA,NA,140,170,NA,NA,190,NA,9,NA,NA,NA,7,18,6,18,5,17.5,4.5,21.99,11.35,NA,NA,NA
"TMEB419",1,2,2,1,3,NA,NA,NA,140,175,NA,NA,180,NA,10,NA,NA,NA,7,19,4.5,16,3.9,17,4.8,21.64,10.97,NA,NA,NA
"TMEB419",1,3,2,1,2,NA,NA,NA,150,165,NA,NA,160,NA,2,NA,NA,NA,7,15,3.5,14,4,15,4.3,19.87,7.74,NA,NA,NA
"TMEB419",1,4,1,3,2,3,3,NA,10,95,160,200,200,NA,18,20,8,NA,9,14.5,6,18,6.5,17,6,27.18,16.67,17.39,10.96,NA
"TMEB419",1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,NA,NA,NA,NA,NA,7,18,5.5,19,6,18,5,21.18,NA,NA,NA,NA
"TMS14F1036P0007",1,1,3,2,2,2,NA,NA,75,115,140,NA,180,NA,23,6,NA,NA,7,15.5,4,15,4.5,15.5,4,20.29,12.9,7.72,NA,NA
"TMS14F1036P0007",1,2,3,2,2,2,NA,NA,85,162,177,NA,195,NA,21,3,NA,NA,7,16.5,5,16,4.5,16,5,19.15,12.33,7.11,NA,NA
"TMS14F1036P0007",1,3,3,2,2,3,NA,NA,90,165,190,NA,205,NA,27,3,NA,NA,7,13,3.5,14,3.5,14,4,20.34,12.19,5.87,NA,NA
"TMS14F1036P0007",1,4,3,1,2,NA,NA,NA,115,165,NA,NA,185,NA,13,NA,NA,NA,7,13,3.8,15,4.5,14,4.7,17.59,10.36,NA,NA,NA
"TMS14F1036P0007",1,5,2,1,2,NA,NA,NA,80,155,NA,NA,180,NA,22,NA,NA,NA,7,14.5,4,14,4,13.5,4,19.45,11.83,NA,NA,NA
"TMS14F1312P0003",1,1,3,1,2,NA,NA,NA,110,160,NA,NA,185,NA,17,NA,NA,NA,7,13.5,4.5,12.5,4,13,3.5,19.01,8.81,NA,NA,NA
"TMS14F1312P0003",1,2,3,2,2,2,NA,NA,90,165,NA,NA,185,NA,3,NA,NA,NA,7,15.5,4,13,4,13.5,4,22.23,14.91,8.91,NA,NA
"TMS14F1312P0003",1,3,3,1,2,NA,NA,NA,118,148,NA,NA,160,NA,8,NA,NA,NA,7,15,4.2,14,5,13,4.3,12.51,7.7,NA,NA,NA
"TMS14F1312P0003",1,4,4,1,2,NA,NA,NA,115,160,NA,NA,185,NA,16,NA,NA,NA,7,14.5,4,15.5,5,17,5.5,17.77,11.89,NA,NA,NA
"TMS14F1312P0003",1,5,4,1,2,NA,NA,NA,130,160,NA,NA,175,NA,7,NA,NA,NA,7,15,4.4,13,4.3,14.5,4.6,16.18,7.88,NA,NA,NA
"TMS14F1035P0004",1,1,6,2,2,2,NA,NA,70,140,150,NA,160,NA,13,2,NA,NA,6,11.5,4.3,11,4,10,3.5,9.77,5.95,3.34,NA,NA
"TMS14F1035P0004",1,2,2,2,3,3,NA,NA,50,120,155,NA,170,NA,18,13,NA,NA,6,13.5,5,12,4.5,13,4.5,21.54,15.37,7.71,NA,NA
"TMS14F1035P0004",1,3,2,2,3,3,NA,NA,60,120,155,NA,185,NA,13,12,NA,NA,7,12.5,4.5,12.45,4.3,10,4,22.91,14.41,6.84,NA,NA
"TMS14F1035P0004",1,4,3,2,2,3,NA,NA,50,115,170,NA,170,NA,16,11,NA,NA,7,12.5,4,11.5,4,11,4,16.62,14.59,7.45,NA,NA
"TMS14F1035P0004",1,5,2,1,2,NA,NA,NA,85,130,NA,NA,150,NA,10,NA,NA,NA,7,14.5,5,13,4.5,13,5,14.2,7.49,NA,NA,NA
"TMS14F1120P0003",1,1,1,2,3,3,NA,NA,65,130,165,NA,190,NA,23,9,NA,NA,7,13,3.5,14,4.5,15,4.3,22.14,14.6,8.12,NA,NA
"TMS14F1120P0003",1,2,2,2,2,2,NA,NA,50,115,135,NA,150,NA,18,3,NA,NA,7,15,4,13.5,3,13,3.3,15.58,10.47,6.46,NA,NA
"TMS14F1120P0003",1,3,3,2,2,2,NA,NA,55,105,125,NA,140,NA,18,2,NA,NA,7,11.5,3,11,3.5,12,3.4,15.14,10.83,6.08,NA,NA
"TMS14F1120P0003",1,4,5,2,3,3,NA,NA,60,115,145,NA,155,NA,20,9,NA,NA,7,16,4.5,14,3.5,15,3.9,22.14,15.57,9.1,NA,NA
"TMS14F1120P0003",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1306P0015",1,1,1,1,3,NA,NA,NA,85,145,NA,NA,165,NA,23,NA,NA,NA,7,19,5.5,17,5.3,17.3,5.4,23.41,13.3,NA,NA,NA
"TMS14F1306P0015",1,2,1,2,3,2,NA,NA,90,160,NA,NA,175,NA,27,NA,NA,NA,9,17,5.5,17,4.8,18,5.5,22.2,12.84,15.94,NA,NA
"TMS14F1306P0015",1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,7,15,4.5,16,4,14.5,4,16.28,NA,NA,NA,NA
"TMS14F1306P0015",1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,NA,NA,NA,NA,7,17,5,16.5,5.3,17.5,5,18.92,NA,8,8,NA
"TMS14F1306P0015",1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,7,13,3.5,13,3.6,14,4,13.19,NA,NA,NA,NA
