"accession_name","rep_number","plant_number","stem_nu","NODLT","Total_nod","LAIm","LAIX","BR#S","L#SX","L#IR"
"TMS13F1114P0001",1,2,5,8.45238095238095,297.323943661972,164.049,4.87756956338028,5,59.4647887323944,NA
"TMS13F1114P0001",1,3,4,13.4782608695652,233.225806451613,217.921,5.08248009677419,4,58.3064516129032,NA
"TMS13F1114P0001",1,4,4,11.8055555555556,287.717647058824,166.1875,4.78150764705882,4,71.9294117647059,NA
"TMS13F1114P0001",1,5,3,13.0882352941176,188.191011235955,151.1725,2.84493056460674,3,62.7303370786517,NA
"TMEB419",1,1,2,3.33333333333333,138,275.8425,3.8066265,2,69,NA
"TMEB419",1,2,2,3.5,140,232.845,3.25983,2,70,NA
"TMEB419",1,3,2,7.5,48,181.43,0.870864,2,24,NA
"TMEB419",1,4,1,12.9722222222222,120.770877944325,382.02,4.61368907922912,1,120.770877944325,NA
"TMEB419",1,5,3,NA,NA,299.73,NA,3,NA,NA
"TMS14F1036P0007",1,1,3,5.90579710144928,212.098159509202,198.265,4.2051641595092,3,70.6993865030675,NA
"TMS14F1036P0007",1,2,3,8.66666666666667,173.423076923077,237.395,4.11697713461538,3,57.8076923076923,NA
"TMS14F1036P0007",1,3,3,11.1111111111111,213.3,160.955,3.43317015,3,71.1,NA
"TMS14F1036P0007",1,4,3,3.84615384615385,167.7,190.257,3.19060989,3,55.9,NA
"TMS14F1036P0007",1,5,2,3.40909090909091,134.933333333333,176.88,2.3867008,2,67.4666666666667,NA
"TMS14F1312P0003",1,1,3,2.94117647058824,214.2,166.1875,3.55973625,3,71.4,NA
"TMS14F1312P0003",1,2,3,25,28.8,176.88,0.5094144,3,9.6,NA
"TMS14F1312P0003",1,3,3,3.75,142.4,195.899,2.78960176,3,47.4666666666667,NA
"TMS14F1312P0003",1,4,4,2.8125,291.555555555556,232.39,6.77545955555556,4,72.8888888888889,NA
"TMS14F1312P0003",1,5,4,4.28571428571429,177.333333333333,195.626,3.46910106666667,4,44.3333333333333,NA
"TMS14F1035P0004",1,1,6,10.3846153846154,220.444444444444,124.191,2.7377216,6,36.7407407407407,NA
"TMS14F1035P0004",1,2,2,6.58119658119658,201.194805194805,164.4,3.3076425974026,2,100.597402597403,NA
"TMS14F1035P0004",1,3,2,7.53205128205128,165.931914893617,160.30435,2.65996077612766,2,82.9659574468085,NA
"TMS14F1035P0004",1,4,3,9.0625,211.551724137931,151.4,3.20289310344828,3,70.5172413793103,NA
"TMS14F1035P0004",1,5,2,4.5,77.7777777777778,202.36,1.57391111111111,2,38.8888888888889,NA
"TMS14F1120P0003",1,1,1,6.71497584541063,105.679856115108,181.43,1.9173496294964,1,105.679856115108,NA
"TMS14F1120P0003",1,2,2,10.2777777777778,93.7297297297297,154.494,1.44806808648649,2,46.8648648648649,NA
"TMS14F1120P0003",1,3,3,12.7777777777778,132.913043478261,127.558,1.6954122,3,44.304347826087,NA
"TMS14F1120P0003",1,4,5,6.08333333333333,484.315068493151,187.345,9.07340065068493,5,96.8630136986301,NA
"TMS14F1120P0003",1,5,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1306P0015",1,1,1,2.60869565217391,101.583333333333,286.0982,2.90628088166667,1,101.583333333333,NA
"TMS14F1306P0015",1,2,1,2.59259259259259,115.714285714286,344.697,3.98863671428572,1,115.714285714286,NA
"TMS14F1306P0015",1,3,3,NA,NA,196.445,NA,3,NA,NA
"TMS14F1306P0015",1,4,3,NA,NA,260.5545,NA,3,NA,NA
"TMS14F1306P0015",1,5,2,NA,NA,158.953,NA,2,NA,NA
"TMS14F1306P0020",1,1,2,NA,NA,255.959,NA,2,NA,NA
"TMS14F1306P0020",1,2,1,NA,NA,276.707,NA,1,NA,NA
"TMS14F1306P0020",1,3,3,4.28571428571429,129.5,322.207,4.17258065,3,43.1666666666667,NA
"TMS14F1306P0020",1,4,4,NA,NA,267.425,NA,4,NA,NA
"TMS14F1306P0020",1,5,4,15,49.3333333333333,404.835,1.997186,4,12.3333333333333,NA
"TMS13F1021P0008",1,1,2,8.75,132.571428571429,254.958,3.38001462857143,2,66.2857142857143,NA
"TMS13F1021P0008",1,2,2,6.36363636363636,99,215.191,2.1303909,2,49.5,NA
"TMS13F1021P0008",1,3,5,15.2941176470588,227.788461538462,257.6425,5.86879887019231,5,45.5576923076923,NA
"TMS13F1021P0008",1,4,3,5.66666666666667,140.294117647059,201.3954,2.82545899411765,3,46.7647058823529,NA
"TMS13F1021P0008",1,5,4,6.25,121.6,225.1555,2.73789088,4,30.4,NA
"TMS13F1182P0002",1,1,3,3.18181818181818,323.142857142857,205.8635,6.65233195714286,3,107.714285714286,NA
"TMS13F1182P0002",1,2,2,4.1304347826087,166.105263157895,234.665,3.89790915789474,2,83.0526315789474,NA
"TMS13F1182P0002",1,3,2,3.26086956521739,211.333333333333,157.679,3.33228286666667,2,105.666666666667,NA
"TMS13F1182P0002",1,4,2,4.04761904761905,167.294117647059,276.798,4.63066771764706,2,83.6470588235294,NA
"TMS13F1182P0002",1,5,3,3.66666666666667,211.909090909091,174.605,3.70003868181818,3,70.6363636363636,NA
"TMS14F1035P0007",1,1,6,NA,NA,172.421,NA,6,NA,NA
"TMS14F1035P0007",1,2,1,2.5,132,135.2475,1.785267,1,132,NA
"TMS14F1035P0007",1,3,4,3.26086956521739,410.933333333333,246.066,10.11167216,4,102.733333333333,NA
"TMS14F1035P0007",1,4,5,NA,NA,141.845,NA,5,NA,NA
"TMS14F1035P0007",1,5,3,3.33333333333333,283.5,141.208,4.0032468,3,94.5,NA
"TMS14F1310P0004",1,1,1,33.3333333333333,61.5,214.463,1.31894745,1,61.5,NA
"TMS14F1310P0004",1,2,2,2.77777777777778,258,243.856,6.2914848,2,129,NA
"TMS14F1310P0004",1,3,3,3,253,261.055,6.6046915,3,84.3333333333333,NA
"TMS14F1310P0004",1,4,2,2.39130434782609,212.363636363636,267.945,5.69017745454546,2,106.181818181818,NA
"TMS14F1310P0004",1,5,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1291P0011",1,1,4,NA,NA,225.11,NA,4,NA,NA
"TMS14F1291P0011",1,2,4,NA,NA,169.8275,NA,4,NA,NA
"TMS14F1291P0011",1,3,2,NA,NA,259.9305,NA,2,NA,NA
"TMS14F1291P0011",1,4,3,NA,NA,199.084,NA,3,NA,NA
"TMS14F1291P0011",1,5,5,NA,NA,213.28,NA,5,NA,NA
"TMS14F1311P0002",1,1,1,4.94553376906318,124.055066079295,194.118,2.40813213171806,1,124.055066079295,NA
"TMS14F1311P0002",1,2,3,NA,NA,157.0238,NA,3,NA,NA
"TMS14F1311P0002",1,3,4,NA,NA,108.63,NA,4,NA,NA
"TMS14F1311P0002",1,4,4,NA,NA,195.756,NA,4,NA,NA
"TMS14F1311P0002",1,5,3,5.38126361655773,293.14979757085,163.5225,4.79365877732794,3,97.7165991902834,NA
"TMS14F1208P0007",1,1,1,3.05555555555556,77.7272727272727,169.145,1.31471795454545,1,77.7272727272727,NA
"TMS14F1208P0007",1,2,2,NA,NA,187.0811,NA,2,NA,NA
"TMS14F1208P0007",1,3,3,3.92857142857143,210.272727272727,140.3435,2.95104105,3,70.0909090909091,NA
"TMS14F1208P0007",1,4,2,3.4375,144,192.168,2.7672192,2,72,NA
"TMS14F1208P0007",1,5,2,NA,NA,278.4165,NA,2,NA,NA
"TMS14F1224P0004",2,1,NA,NA,NA,NA,NA,NA,NA,0.238095238095238
"TMS14F1224P0004",2,2,2,6.94852941176471,11.5132275132275,174.9144,0.201382928253968,2,5.75661375661376,0.19047619047619
"TMS14F1224P0004",2,3,1,15,58.3333333333333,223.8815,1.30597541666667,1,58.3333333333333,NA
"TMS14F1224P0004",2,4,1,9.23076923076923,92.7083333333333,148.8247,1.37972898958333,1,92.7083333333333,NA
"TMS14F1224P0004",2,5,1,8.92857142857143,77.92,167.4797,1.3050018224,1,77.92,0.19047619047619
"TMS13F1114P0001",2,1,5,NA,NA,152.9925,NA,5,NA,0.380952380952381
"TMS13F1114P0001",2,2,2,3.92857142857143,111.272727272727,185.9163,2.06874137454545,2,55.6363636363636,0.333333333333333
"TMS13F1114P0001",2,3,2,3.61111111111111,161.538461538462,201.0041,3.24698930769231,2,80.7692307692308,0.380952380952381
"TMS13F1114P0001",2,4,3,3.41176470588235,178.913793103448,166.4696,2.97837075724138,3,59.6379310344828,0.428571428571429
"TMS13F1114P0001",2,5,3,3.75,188,186.4987,3.50617556,3,62.6666666666667,0.428571428571429
"TMS14F1035P0004",2,1,4,4,357,231.5528,8.26643496,4,89.25,NA
"TMS14F1035P0004",2,2,2,3.33333333333333,252,213.8715,5.3895618,2,126,NA
"TMS14F1035P0004",2,3,2,3.57142857142857,213.2,198.0544,4.222519808,2,106.6,0.142857142857143
"TMS14F1035P0004",2,4,3,8.44444444444444,386.763157894737,214.0626,8.27915271631579,3,128.921052631579,0.285714285714286
"TMS14F1035P0004",2,5,4,4.16666666666667,355.2,179.3188,6.369403776,4,88.8,0.333333333333333
"TMS14F1194P0002",2,1,3,NA,NA,11271.7365,NA,3,NA,0.523809523809524
"TMS14F1194P0002",2,2,3,NA,NA,311.1869,NA,3,NA,0.523809523809524
"TMS14F1194P0002",2,3,2,NA,NA,284.3055,NA,2,NA,0.571428571428571
"TMS14F1194P0002",2,4,4,NA,NA,375.6149,NA,4,NA,0.380952380952381
"TMS14F1194P0002",2,5,3,NA,NA,320.9057,NA,3,NA,0.666666666666667
"TMS14F1036P0007",2,1,3,2.5,366,263.33,9.637878,3,122,0.476190476190476
"TMS14F1036P0007",2,2,3,7.35576923076923,301.549019607843,294.634,8.88465938431372,3,100.516339869281,0.571428571428571
"TMS14F1036P0007",2,3,4,4.64285714285714,287.384615384615,193.16263,5.55119681292308,4,71.8461538461538,0.476190476190476
"TMS14F1036P0007",2,4,2,4.21052631578947,207.125,240.6801,4.98508657125,2,103.5625,0.285714285714286
"TMS14F1036P0007",2,5,3,4.73684210526316,296.833333333333,253.2745,7.51803140833333,3,98.9444444444444,0.571428571428571
"TMS14F1208P0007",2,1,2,3.57142857142857,236.8,557.1235,13.19268448,2,118.4,NA
"TMS14F1208P0007",2,2,1,7.68571428571429,124.806691449814,251.7093,3.14150049401487,1,124.806691449814,0.238095238095238
"TMS14F1208P0007",2,3,4,4.5625,491.890410958904,235.0199,11.5604035194521,4,122.972602739726,NA
"TMS14F1208P0007",2,4,2,4.70588235294118,184.375,238.8965,4.40465421875,2,92.1875,0.238095238095238
"TMS14F1208P0007",2,5,3,6.33333333333333,229.263157894737,235.6205,5.40190998947368,3,76.4210526315789,0.142857142857143
"TMS14F1022P0006",2,1,2,3.68421052631579,186.285714285714,222.2617,4.14041795428571,2,93.1428571428571,0.380952380952381
"TMS14F1022P0006",2,2,1,NA,NA,261.5984,NA,1,NA,0.285714285714286
"TMS14F1022P0006",2,3,3,NA,NA,304.4984,NA,3,NA,0.571428571428571
"TMS14F1022P0006",2,4,3,NA,NA,166.2421,NA,3,NA,NA
"TMS14F1022P0006",2,5,4,3.0952380952381,410.769230769231,318.1016,13.0666349538462,4,102.692307692308,0.285714285714286
"TMS14F1001P0004",2,1,1,2.77777777777778,98.4,190.4663,1.874188392,1,98.4,0.380952380952381
"TMS14F1001P0004",2,2,1,2.94117647058824,85.6,251.2179,2.150425224,1,85.6,0.333333333333333
"TMS14F1001P0004",2,3,1,2.61904761904762,111.545454545455,222.9988,2.48745025090909,1,111.545454545455,0.19047619047619
"TMS14F1001P0004",2,4,4,2.515,327.284294234592,247.3322,8.09479445184891,4,81.8210735586481,0.333333333333333
"TMS14F1001P0004",2,5,2,2.72727272727273,230.666666666667,204.1527,4.70912228,2,115.333333333333,NA
"TMS14F1297P0019",2,1,2,NA,NA,282.8313,NA,2,NA,0.333333333333333
"TMS14F1297P0019",2,2,1,NA,NA,262.4837,NA,1,NA,0.428571428571429
"TMS14F1297P0019",2,3,6,NA,NA,185.2793,NA,6,NA,0.476190476190476
"TMS14F1297P0019",2,4,3,NA,NA,285.1154,NA,3,NA,0.333333333333333
"TMS14F1297P0019",2,5,2,2.30769230769231,238.333333333333,302.7603,7.21578715,2,119.166666666667,0.285714285714286
"TMS14F1291P0011",2,1,3,NA,NA,183.3072,NA,3,NA,0.380952380952381
"TMS14F1291P0011",2,2,5,NA,NA,196.5269,NA,5,NA,0.428571428571429
"TMS14F1291P0011",2,3,2,NA,NA,219.8411,NA,2,NA,0.476190476190476
"TMS14F1291P0011",2,4,4,NA,NA,229.1049,NA,4,NA,0.571428571428571
"TMS14F1291P0011",2,5,2,NA,NA,202.6967,NA,2,NA,0.476190476190476
"TMS14F1120P0003",2,1,2,2.5,154,136.0119,2.09458326,2,77,0.476190476190476
"TMS14F1120P0003",2,2,2,2.4,261.833333333333,216.92,5.67968866666667,2,130.916666666667,0.142857142857143
"TMS14F1120P0003",2,3,3,3,210,187.8182,3.9441822,3,70,0.476190476190476
"TMS14F1120P0003",2,4,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1120P0003",2,5,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1306P0015",2,1,3,NA,NA,345.1624,NA,3,NA,0.476190476190476
"TMS14F1306P0015",2,2,2,NA,NA,268.9928,NA,2,NA,0.476190476190476
"TMS14F1306P0015",2,3,3,NA,NA,312.2776,NA,3,NA,0.714285714285714
"TMS14F1306P0015",2,4,4,NA,NA,315.4288,NA,4,NA,0.0952380952380952
"TMS14F1306P0015",2,5,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1016P0006",2,1,3,2.75,350.454545454545,359.0256,12.5822153454545,3,116.818181818182,0.238095238095238
"TMS14F1016P0006",2,2,3,NA,NA,317.5023,NA,3,NA,0.333333333333333
"TMS14F1016P0006",2,3,1,NA,NA,276.1792,NA,1,NA,NA
"TMS14F1016P0006",2,4,2,NA,NA,227.5579,NA,2,NA,0.285714285714286
"TMS14F1016P0006",2,5,3,NA,NA,248.3878,NA,3,NA,0.19047619047619
"TMS14F1312P0003",2,1,3,NA,NA,172.512,NA,3,NA,0.428571428571429
"TMS14F1312P0003",2,2,4,3.07692307692308,354,234.0644,8.28587976,4,88.5,0.380952380952381
"TMS14F1312P0003",2,3,7,NA,NA,246.3312,NA,7,NA,0.285714285714286
"TMS14F1312P0003",2,4,2,3.125,178.4,262.4928,4.682871552,2,89.2,0.571428571428571
"TMS14F1312P0003",2,5,2,NA,NA,203.4611,NA,2,NA,0.142857142857143
"TMS14F1262P0002",2,1,2,2,269,310.156,8.3431964,2,134.5,0.476190476190476
"TMS14F1262P0002",2,2,1,NA,NA,190.257,NA,1,NA,0.285714285714286
"TMS14F1262P0002",2,3,1,2.30769230769231,112.333333333333,231.1576,2.59667037333333,1,112.333333333333,0.476190476190476
"TMS14F1262P0002",2,4,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1262P0002",2,5,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1131P0001",2,1,2,3.96315789473684,186.895086321381,249.407,4.66129427941567,2,93.4475431606906,0.285714285714286
"TMS14F1131P0001",2,2,1,3.95833333333333,128.421052631579,337.8317,4.33847025263158,1,128.421052631579,0.142857142857143
"TMS14F1131P0001",2,3,2,3.40909090909091,221.066666666667,240.2797,5.31178323466667,2,110.533333333333,0.19047619047619
"TMS14F1131P0001",2,4,2,5,172,215.1728,3.70097216,2,86,0.285714285714286
"TMS14F1131P0001",2,5,3,NA,NA,NA,NA,3,NA,0.142857142857143
"TMS14F1049P0001",2,1,4,NA,NA,204.95168,NA,4,NA,0.238095238095238
"TMS14F1049P0001",2,2,3,2.64736842105263,233.65407554672,192.1771,4.49029626417495,3,77.8846918489066,0.238095238095238
"TMS14F1049P0001",2,3,3,NA,NA,210.8958,NA,3,NA,NA
"TMS14F1049P0001",2,4,5,NA,NA,173.6768,NA,5,NA,0.333333333333333
"TMS14F1049P0001",2,5,6,NA,NA,169.236,NA,6,NA,0.333333333333333
"TMS13F1461P0002",2,1,3,NA,NA,136.6489,NA,3,NA,0.333333333333333
"TMS13F1461P0002",2,2,4,NA,NA,196.9546,NA,4,NA,0.380952380952381
"TMS13F1461P0002",2,3,1,NA,NA,174.3411,NA,1,NA,NA
"TMS13F1461P0002",2,4,3,2.5,264,234.0098,6.17785872,3,88,0.285714285714286
"TMS13F1461P0002",2,5,2,2.82608695652174,213.692307692308,189.0376,4.03958809846154,2,106.846153846154,0.380952380952381
"TMS14F1300P0008",2,1,2,4.15,150.963855421687,372.309,5.62052020481928,2,75.4819277108434,0.285714285714286
