leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_2,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,2,TMS13F1106P0006/TMS13F1307P0020,1,1,14.5,14.3,4.3,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_3,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,3,TMS13F1106P0006/TMS13F1307P0020,1,1,19,13.5,4,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_4,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,4,TMS13F1106P0006/TMS13F1307P0020,1,1,16.3,13.3,4,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_5,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,5,TMS13F1106P0006/TMS13F1307P0020,1,1,11.3,11.5,3.5,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_6,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,6,TMS13F1106P0006/TMS13F1307P0020,1,1,13.3,12,3.6,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_7,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,7,TMS13F1106P0006/TMS13F1307P0020,1,1,14.3,12.5,3.8,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_8,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,8,TMS13F1106P0006/TMS13F1307P0020,1,1,13,14,4,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_9,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,9,TMS13F1106P0006/TMS13F1307P0020,1,1,9.5,12.5,3.7,7
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_10,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,10,TMS13F1106P0006/TMS13F1307P0020,1,1,15.5,13.5,4,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_11,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,11,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_12,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,12,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_13,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,13,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_14,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,14,TMS13F1106P0006/TMS13F1307P0020,1,1,,,,
