leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_3,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,3,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,19.8,11,3.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_4,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,4,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,25,12.7,4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_5,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,5,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,29,17,5.2,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_6,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,6,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,27,15.3,4.6,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_7,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,7,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,21,14.5,4.5,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_8,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,8,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,22,14,4.5,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_9,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,9,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,28.5,17,5,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_10,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,10,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,26,14.5,4.7,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_11,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,11,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_12,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,12,IITA-TMS-ZAR930151/IITA-TMS-IBA930134,1,1,,,,
